coda,nucleus,onset,jyutping,tone
p,u,d,dup1,1
p,u,d,dup2,2
p,u,d,dup3,3
p,u,d,dup4,4
p,u,d,dup5,5
p,u,d,dup6,6
t,u,d,dut1,1
t,u,d,dut2,2
t,u,d,dut3,3
t,u,d,dut4,4
t,u,d,dut5,5
t,u,d,dut6,6
k,u,d,duk1,1
k,u,d,duk2,2
k,u,d,duk3,3
k,u,d,duk4,4
k,u,d,duk5,5
k,u,d,duk6,6
m,u,d,dum1,1
m,u,d,dum2,2
m,u,d,dum3,3
m,u,d,dum4,4
m,u,d,dum5,5
m,u,d,dum6,6
n,u,d,dun1,1
n,u,d,dun2,2
n,u,d,dun3,3
n,u,d,dun4,4
n,u,d,dun5,5
n,u,d,dun6,6
ng,u,d,dung1,1
ng,u,d,dung2,2
ng,u,d,dung3,3
ng,u,d,dung4,4
ng,u,d,dung5,5
ng,u,d,dung6,6
i,u,d,dui1,1
i,u,d,dui2,2
i,u,d,dui3,3
i,u,d,dui4,4
i,u,d,dui5,5
i,u,d,dui6,6
u,u,d,duu1,1
u,u,d,duu2,2
u,u,d,duu3,3
u,u,d,duu4,4
u,u,d,duu5,5
u,u,d,duu6,6
,u,d,du1,1
,u,d,du2,2
,u,d,du3,3
,u,d,du4,4
,u,d,du5,5
,u,d,du6,6
p,oe,d,doep1,1
p,oe,d,doep2,2
p,oe,d,doep3,3
p,oe,d,doep4,4
p,oe,d,doep5,5
p,oe,d,doep6,6
t,oe,d,doet1,1
t,oe,d,doet2,2
t,oe,d,doet3,3
t,oe,d,doet4,4
t,oe,d,doet5,5
t,oe,d,doet6,6
k,oe,d,doek1,1
k,oe,d,doek2,2
k,oe,d,doek3,3
k,oe,d,doek4,4
k,oe,d,doek5,5
k,oe,d,doek6,6
m,oe,d,doem1,1
m,oe,d,doem2,2
m,oe,d,doem3,3
m,oe,d,doem4,4
m,oe,d,doem5,5
m,oe,d,doem6,6
n,oe,d,doen1,1
n,oe,d,doen2,2
n,oe,d,doen3,3
n,oe,d,doen4,4
n,oe,d,doen5,5
n,oe,d,doen6,6
ng,oe,d,doeng1,1
ng,oe,d,doeng2,2
ng,oe,d,doeng3,3
ng,oe,d,doeng4,4
ng,oe,d,doeng5,5
ng,oe,d,doeng6,6
i,oe,d,doei1,1
i,oe,d,doei2,2
i,oe,d,doei3,3
i,oe,d,doei4,4
i,oe,d,doei5,5
i,oe,d,doei6,6
u,oe,d,doeu1,1
u,oe,d,doeu2,2
u,oe,d,doeu3,3
u,oe,d,doeu4,4
u,oe,d,doeu5,5
u,oe,d,doeu6,6
,oe,d,doe1,1
,oe,d,doe2,2
,oe,d,doe3,3
,oe,d,doe4,4
,oe,d,doe5,5
,oe,d,doe6,6
p,e,d,dep1,1
p,e,d,dep2,2
p,e,d,dep3,3
p,e,d,dep4,4
p,e,d,dep5,5
p,e,d,dep6,6
t,e,d,det1,1
t,e,d,det2,2
t,e,d,det3,3
t,e,d,det4,4
t,e,d,det5,5
t,e,d,det6,6
k,e,d,dek1,1
k,e,d,dek2,2
k,e,d,dek3,3
k,e,d,dek4,4
k,e,d,dek5,5
k,e,d,dek6,6
m,e,d,dem1,1
m,e,d,dem2,2
m,e,d,dem3,3
m,e,d,dem4,4
m,e,d,dem5,5
m,e,d,dem6,6
n,e,d,den1,1
n,e,d,den2,2
n,e,d,den3,3
n,e,d,den4,4
n,e,d,den5,5
n,e,d,den6,6
ng,e,d,deng1,1
ng,e,d,deng2,2
ng,e,d,deng3,3
ng,e,d,deng4,4
ng,e,d,deng5,5
ng,e,d,deng6,6
i,e,d,dei1,1
i,e,d,dei2,2
i,e,d,dei3,3
i,e,d,dei4,4
i,e,d,dei5,5
i,e,d,dei6,6
u,e,d,deu1,1
u,e,d,deu2,2
u,e,d,deu3,3
u,e,d,deu4,4
u,e,d,deu5,5
u,e,d,deu6,6
,e,d,de1,1
,e,d,de2,2
,e,d,de3,3
,e,d,de4,4
,e,d,de5,5
,e,d,de6,6
p,eo,d,deop1,1
p,eo,d,deop2,2
p,eo,d,deop3,3
p,eo,d,deop4,4
p,eo,d,deop5,5
p,eo,d,deop6,6
t,eo,d,deot1,1
t,eo,d,deot2,2
t,eo,d,deot3,3
t,eo,d,deot4,4
t,eo,d,deot5,5
t,eo,d,deot6,6
k,eo,d,deok1,1
k,eo,d,deok2,2
k,eo,d,deok3,3
k,eo,d,deok4,4
k,eo,d,deok5,5
k,eo,d,deok6,6
m,eo,d,deom1,1
m,eo,d,deom2,2
m,eo,d,deom3,3
m,eo,d,deom4,4
m,eo,d,deom5,5
m,eo,d,deom6,6
n,eo,d,deon1,1
n,eo,d,deon2,2
n,eo,d,deon3,3
n,eo,d,deon4,4
n,eo,d,deon5,5
n,eo,d,deon6,6
ng,eo,d,deong1,1
ng,eo,d,deong2,2
ng,eo,d,deong3,3
ng,eo,d,deong4,4
ng,eo,d,deong5,5
ng,eo,d,deong6,6
i,eo,d,deoi1,1
i,eo,d,deoi2,2
i,eo,d,deoi3,3
i,eo,d,deoi4,4
i,eo,d,deoi5,5
i,eo,d,deoi6,6
u,eo,d,deou1,1
u,eo,d,deou2,2
u,eo,d,deou3,3
u,eo,d,deou4,4
